order_id,customer_id,product_id,quantity,total_price,status,order_date
ORD-1001,CUST-001,PROD-001,1,129.99,COMPLETED,2024-07-01
ORD-1002,CUST-002,PROD-002,2,119.00,COMPLETED,2024-07-01
ORD-1003,CUST-003,PROD-003,1,499.00,COMPLETED,2024-07-02
ORD-1004,CUST-004,PROD-007,3,89.97,COMPLETED,2024-07-03
ORD-1005,CUST-005,PROD-005,1,289.00,COMPLETED,2024-07-03
ORD-1006,CUST-006,PROD-006,1,65.00,COMPLETED,2024-07-04
ORD-1007,CUST-007,PROD-008,1,179.00,COMPLETED,2024-07-04
ORD-1008,CUST-008,PROD-010,2,48.00,COMPLETED,2024-07-05
ORD-1009,CUST-009,PROD-009,1,199.50,COMPLETED,2024-07-06
ORD-1010,CUST-010,PROD-004,1,45.00,COMPLETED,2024-07-06
ORD-1011,CUST-011,PROD-003,2,998.00,COMPLETED,2024-07-07
ORD-1012,CUST-012,PROD-002,1,59.50,COMPLETED,2024-07-08
ORD-1013,CUST-013,PROD-001,1,129.99,COMPLETED,2024-07-08
ORD-1014,CUST-014,PROD-011,1,79.00,COMPLETED,2024-07-09
ORD-1015,CUST-015,PROD-012,1,89.00,COMPLETED,2024-07-10
ORD-1016,CUST-016,PROD-007,2,59.98,COMPLETED,2024-07-10
ORD-1017,CUST-001,PROD-008,1,179.00,COMPLETED,2024-07-11
ORD-1018,CUST-003,PROD-009,1,199.50,COMPLETED,2024-07-12
ORD-1019,CUST-007,PROD-001,2,259.98,COMPLETED,2024-07-13
ORD-1020,CUST-005,PROD-002,1,59.50,COMPLETED,2024-07-14
ORD-1021,CUST-002,PROD-006,1,65.00,COMPLETED,2024-07-15
ORD-1022,CUST-004,PROD-010,1,24.00,COMPLETED,2024-07-15
ORD-1023,CUST-009,PROD-011,1,79.00,COMPLETED,2024-07-16
ORD-1024,CUST-011,PROD-005,1,289.00,COMPLETED,2024-07-17
ORD-1025,CUST-013,PROD-003,1,499.00,COMPLETED,2024-07-18
ORD-1026,CUST-015,PROD-004,2,90.00,COMPLETED,2024-07-19
ORD-1027,CUST-006,PROD-007,1,29.99,COMPLETED,2024-07-20
ORD-1028,CUST-008,PROD-012,1,89.00,COMPLETED,2024-07-21
ORD-1029,CUST-010,PROD-002,1,59.50,COMPLETED,2024-07-22
